step,self collision num
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,1
970,0
980,2
990,3
1000,5
1010,10
1020,5
1030,1
1040,2
1050,3
1060,4
1070,3
1080,5
1090,5
1100,5
1110,2
1120,3
1130,5
1140,5
1150,2
1160,3
1170,4
1180,5
1190,8
1200,8
1210,7
1220,6
1230,3
1240,7
1250,5
1260,14
1270,9
1280,10
1290,13
1300,14
1310,9
1320,12
1330,9
1340,9
1350,9
1360,8
1370,10
1380,11
1390,9
1400,12
1410,12
1420,8
1430,9
1440,8
1450,9
1460,11
1470,16
1480,12
1490,10
1500,9
1510,10
1520,10
1530,14
1540,11
1550,11
1560,7
1570,8
1580,11
1590,7
1600,7
1610,4
1620,9
1630,12
1640,11
1650,13
1660,10
1670,8
1680,13
1690,13
1700,9
1710,10
1720,10
1730,9
1740,11
1750,10
1760,6
1770,11
1780,11
1790,7
1800,6
1810,4
1820,6
1830,5
1840,6
1850,4
1860,3
1870,3
1880,3
1890,1
1900,1
1910,0
1920,0
1930,1
1940,2
1950,2
1960,2
1970,1
1980,1
1990,0
2000,2
2010,2
2020,1
2030,1
2040,1
2050,0
2060,0
2070,1
2080,0
2090,0
2100,0
2110,0
2120,1
2130,1
2140,0
2150,0
2160,1
2170,2
2180,2
2190,1
2200,2
2210,2
2220,3
2230,3
2240,3
2250,1
2260,0
2270,2
2280,1
2290,1
2300,2
2310,2
2320,1
2330,1
2340,1
2350,1
2360,1
2370,1
2380,1
2390,2
2400,1
2410,2
2420,2
2430,1
2440,1
2450,2
2460,2
2470,2
2480,2
2490,1
2500,2
