step,self collision num
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,1
1040,2
1050,0
1060,0
1070,2
1080,0
1090,2
1100,0
1110,0
1120,2
1130,0
1140,1
1150,2
1160,1
1170,0
1180,1
1190,1
1200,1
1210,1
1220,2
1230,2
1240,1
1250,1
1260,1
1270,1
1280,2
1290,5
1300,4
1310,1
1320,3
1330,4
1340,2
1350,2
1360,2
1370,3
1380,2
1390,1
1400,3
1410,4
1420,3
1430,2
1440,0
1450,2
1460,1
1470,1
1480,0
1490,0
1500,0
1510,0
1520,1
1530,0
1540,0
1550,0
1560,2
1570,1
1580,0
1590,0
1600,2
1610,1
1620,3
1630,2
1640,0
1650,2
1660,1
1670,0
1680,2
1690,1
1700,2
1710,1
1720,2
1730,1
1740,1
1750,1
1760,2
1770,2
1780,1
1790,1
1800,2
1810,3
1820,2
1830,1
1840,0
1850,1
1860,3
1870,2
1880,4
1890,1
1900,3
1910,1
1920,1
1930,0
1940,2
1950,3
1960,0
1970,2
1980,0
1990,1
2000,2
2010,2
2020,1
2030,2
2040,2
2050,2
2060,2
2070,1
2080,0
2090,0
2100,1
2110,0
2120,0
2130,1
2140,0
2150,2
2160,2
2170,0
2180,1
2190,1
2200,0
2210,1
2220,0
2230,1
2240,0
2250,0
2260,0
2270,0
2280,0
2290,1
2300,0
2310,0
2320,0
2330,0
2340,0
2350,1
2360,0
2370,0
2380,2
2390,1
2400,1
2410,1
2420,1
2430,0
2440,0
2450,1
2460,0
2470,3
2480,1
2490,1
2500,0
