step,self collision num
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,2
640,4
650,10
660,10
670,15
680,12
690,14
700,11
710,7
720,5
730,3
740,1
750,2
760,2
770,1
780,0
790,1
800,1
810,0
820,1
830,2
840,2
850,3
860,3
870,3
880,1
890,1
900,1
910,0
920,1
930,4
940,3
950,3
960,2
970,2
980,4
990,5
1000,6
1010,6
1020,5
1030,9
1040,7
1050,4
1060,6
1070,5
1080,2
1090,3
1100,5
1110,4
1120,6
1130,6
1140,5
1150,6
1160,7
1170,6
1180,10
1190,13
1200,10
1210,8
1220,13
1230,17
1240,9
1250,16
1260,17
1270,17
1280,17
1290,14
1300,20
1310,17
1320,11
1330,11
1340,14
1350,21
1360,14
1370,19
1380,17
1390,12
1400,10
1410,11
1420,14
1430,10
1440,14
1450,9
1460,14
1470,11
1480,15
1490,22
1500,27
1510,25
1520,27
1530,40
1540,36
1550,35
1560,31
1570,24
1580,31
1590,22
1600,17
1610,17
1620,13
1630,17
1640,21
1650,21
1660,20
1670,18
1680,14
1690,15
1700,16
1710,17
1720,18
1730,18
1740,20
1750,17
1760,13
1770,15
1780,15
1790,16
1800,18
1810,13
1820,9
1830,10
1840,10
1850,17
1860,18
1870,15
1880,17
1890,10
1900,8
1910,7
1920,8
1930,11
1940,7
1950,10
1960,10
1970,9
1980,10
1990,10
2000,9
2010,6
2020,6
2030,10
2040,7
2050,10
2060,9
2070,11
2080,8
2090,9
2100,8
2110,9
2120,9
2130,10
2140,9
2150,11
2160,10
2170,10
2180,10
2190,10
2200,10
2210,5
2220,4
2230,6
2240,9
2250,9
2260,11
2270,7
2280,6
2290,5
2300,9
2310,10
2320,9
2330,8
2340,7
2350,9
2360,8
2370,6
2380,5
2390,5
2400,5
2410,4
2420,7
2430,9
2440,9
2450,5
2460,6
2470,5
2480,5
2490,7
2500,4
