step,self collision num
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,2
640,1
650,1
660,0
670,1
680,1
690,1
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,2
940,0
950,1
960,1
970,1
980,1
990,1
1000,2
1010,2
1020,2
1030,0
1040,0
1050,0
1060,2
1070,2
1080,0
1090,2
1100,3
1110,4
1120,5
1130,3
1140,3
1150,2
1160,4
1170,6
1180,1
1190,3
1200,6
1210,8
1220,2
1230,5
1240,5
1250,5
1260,3
1270,4
1280,5
1290,6
1300,8
1310,9
1320,9
1330,7
1340,5
1350,4
1360,7
1370,4
1380,2
1390,5
1400,5
1410,0
1420,3
1430,7
1440,2
1450,9
1460,6
1470,5
1480,6
1490,2
1500,1
1510,8
1520,11
1530,4
1540,6
1550,6
1560,5
1570,2
1580,6
1590,7
1600,5
1610,6
1620,6
1630,5
1640,2
1650,8
1660,13
1670,8
1680,6
1690,4
1700,2
1710,3
1720,5
1730,4
1740,4
1750,5
1760,1
1770,7
1780,7
1790,5
1800,5
1810,5
1820,5
1830,3
1840,4
1850,4
1860,9
1870,5
1880,5
1890,7
1900,7
1910,3
1920,6
1930,8
1940,4
1950,7
1960,7
1970,7
1980,4
1990,3
2000,3
2010,5
2020,2
2030,1
2040,2
2050,4
2060,2
2070,3
2080,1
2090,6
2100,3
2110,7
2120,5
2130,6
2140,8
2150,4
2160,6
2170,5
2180,6
2190,2
2200,6
2210,6
2220,5
2230,2
2240,3
2250,4
2260,2
2270,6
2280,2
2290,3
2300,4
2310,2
2320,3
2330,6
2340,2
2350,3
2360,5
2370,5
2380,1
2390,3
2400,2
2410,4
2420,2
2430,1
2440,5
2450,2
2460,1
2470,2
2480,2
2490,2
2500,5
